prox.horizontal[0] ," prox.horizontal[1]" ," prox.horizontal[2]" ," prox.horizontal[3]" ," prox.horizontal[4]" ," prox.horizontal[5]" ," prox.horizontal[6]" , "timestamp"
0.000000,2344.000000,2801.000000,0.000000,0.000000,0.000000,0.000000,28610.000000
0.000000,2347.000000,2803.000000,0.000000,0.000000,0.000000,0.000000,28758.000000
0.000000,2265.000000,2717.000000,0.000000,0.000000,0.000000,0.000000,28909.000000
0.000000,2186.000000,2647.000000,0.000000,0.000000,0.000000,0.000000,29078.000000
0.000000,2030.000000,2492.000000,0.000000,0.000000,0.000000,0.000000,29239.000000
0.000000,1945.000000,2419.000000,0.000000,0.000000,0.000000,0.000000,29392.000000
0.000000,1750.000000,2258.000000,0.000000,0.000000,0.000000,0.000000,29544.000000
0.000000,1733.000000,2248.000000,0.000000,0.000000,0.000000,0.000000,29696.000000
0.000000,1734.000000,2243.000000,0.000000,0.000000,0.000000,0.000000,29861.000000
0.000000,1729.000000,2245.000000,0.000000,0.000000,0.000000,0.000000,30005.000000
0.000000,1732.000000,2244.000000,0.000000,0.000000,0.000000,0.000000,30162.000000
0.000000,1730.000000,2244.000000,0.000000,0.000000,0.000000,0.000000,30329.000000
0.000000,1735.000000,2243.000000,0.000000,0.000000,0.000000,0.000000,30464.000000
0.000000,1735.000000,2242.000000,0.000000,0.000000,0.000000,0.000000,30608.000000
0.000000,1731.000000,2242.000000,0.000000,0.000000,0.000000,0.000000,30759.000000
0.000000,1730.000000,2245.000000,0.000000,0.000000,0.000000,0.000000,31077.000000
0.000000,1735.000000,2243.000000,0.000000,0.000000,0.000000,0.000000,31215.000000
0.000000,1728.000000,2243.000000,0.000000,0.000000,0.000000,0.000000,31363.000000
0.000000,1732.000000,2247.000000,0.000000,0.000000,0.000000,0.000000,31495.000000
0.000000,1731.000000,2244.000000,0.000000,0.000000,0.000000,0.000000,31626.000000
0.000000,1731.000000,2243.000000,0.000000,0.000000,0.000000,0.000000,31768.000000
0.000000,1732.000000,2247.000000,0.000000,0.000000,0.000000,0.000000,31898.000000
0.000000,1730.000000,2246.000000,0.000000,0.000000,0.000000,0.000000,32029.000000
0.000000,1736.000000,2246.000000,0.000000,0.000000,0.000000,0.000000,32166.000000
0.000000,1730.000000,2242.000000,0.000000,0.000000,0.000000,0.000000,32312.000000
0.000000,1731.000000,2243.000000,0.000000,0.000000,0.000000,0.000000,32473.000000
0.000000,1735.000000,2246.000000,0.000000,0.000000,0.000000,0.000000,32612.000000
0.000000,1732.000000,2246.000000,0.000000,0.000000,0.000000,0.000000,32776.000000
0.000000,1731.000000,2244.000000,0.000000,0.000000,0.000000,0.000000,32915.000000
0.000000,1731.000000,2247.000000,0.000000,0.000000,0.000000,0.000000,33095.000000
0.000000,1729.000000,2241.000000,0.000000,0.000000,0.000000,0.000000,33232.000000
0.000000,1729.000000,2246.000000,0.000000,0.000000,0.000000,0.000000,33368.000000
0.000000,1733.000000,2244.000000,0.000000,0.000000,0.000000,0.000000,33511.000000
0.000000,1732.000000,2244.000000,0.000000,0.000000,0.000000,0.000000,34091.000000
0.000000,1734.000000,2246.000000,0.000000,0.000000,0.000000,0.000000,34239.000000
0.000000,1736.000000,2246.000000,0.000000,0.000000,0.000000,0.000000,34393.000000
0.000000,1737.000000,2248.000000,0.000000,0.000000,0.000000,0.000000,34540.000000
0.000000,1735.000000,2244.000000,0.000000,0.000000,0.000000,0.000000,34688.000000
0.000000,1732.000000,2246.000000,0.000000,0.000000,0.000000,0.000000,34839.000000
